法语,英语陷阱词,实际意思,正确说法,例句,例句中文
la monnaie,money,零钱、货币,l'argent,,
un coin,coin,角落,une pièce (de monnaie),,
le pain,pain,面包,la douleur,,
un raisin,raisin,葡萄,un raisin sec,,
la chair,chair,肉（身体的）,une chaise,,
une cave,cave,地窖、酒窖,une grotte,,
car,car,因为（连词）／ 长途大巴,une voiture,,
un bras,bra,手臂,un soutien-gorge,,
une veste,vest,外套、夹克,un gilet,,
un tissu,tissue,布料、织物,un mouchoir,,
une figure,figure,面孔、脸,un chiffre / une silhouette,,
un habit,habit,衣服、服装,une habitude,,
un journal,journal,报纸 / 日记,une revue,,
une nouvelle,novel,短篇小说 / 消息,un roman,,
un médecin,medicine,医生,un médicament,,
un crayon,crayon,铅笔,un crayon de couleur,,
une entrée,entrée（美式指主菜）,前菜、开胃菜,le plat principal,,
un agenda,agenda,记事本、日程本,l'ordre du jour,,
un résumé,résumé（简历）,摘要、总结,un CV,,
rude,rude,粗糙的、艰苦的,"impoli, grossier",,
large,large,宽的,grand,,
gentil / gentille,gentle,善良的、好心的,doux / douce,,
la place,place,广场 / 座位 / 空间,"un endroit, un lieu",,
rare,rare（半熟）,稀有的、罕见的,saignant（牛排半熟）,,
