英语,错误法语,正确法语,说明
I am eating.,✗ Je suis mangeant.,Je mange.,法语没有进行时。强调正在进行可用 être en train de + inf.
I've lived here for 3 years.,✗ J'ai habité ici pour 3 ans.,J'habite ici depuis 3 ans.,「自……以来」用现在时 + depuis，不是复合过去时。
I look at the sky.,✗ Je regarde à le ciel.,Je regarde le ciel.,regarder / écouter / attendre / chercher / demander / payer 均为直接及物，不加介词。
I'm waiting for the bus.,✗ J'attends pour le bus.,J'attends le bus.,attendre 直接跟宾语，绝不加 pour。
I'm looking for my keys.,✗ Je cherche pour mes clés.,Je cherche mes clés.,chercher 直接跟宾语。
I enter the room.,✗ J'entre la pièce.,J'entre dans la pièce.,反过来：entrer 需要介词 dans。
I like coffee.,✗ J'aime café.,J'aime le café.,泛指必须加定冠词。
I wash my hands.,✗ Je lave mes mains.,Je me lave les mains.,身体部位用定冠词 + 代动词，不用主有形容词。
It is important to work.,✗ Il est important à travailler.,Il est important de travailler.,固定结构 Il est + 形容词 + de + 不定式。
Do you speak French?,✗ Est-ce que tu fais parler français ?,Parles-tu français ? / Est-ce que tu parles français ?,法语没有助动词 do。
People are nice here.,✗ Les gens est sympa ici.,Les gens sont sympas ici.,gens 恒为复数。
I think about it.,✗ Je pense de ça.,J'y pense. / Je pense à ça.,penser à = 想着某事；penser de = 对某事的看法。介词不可按英语推。
I need it.,✗ J'ai besoin le.,J'en ai besoin.,avoir besoin de → 用代词 en 替代。
She is a teacher.,✗ Elle est une professeure.,Elle est professeure.,être + 职业时不加冠词。
I miss you.,✗ Je te manque.,Tu me manques.,manquer 的主宾与英语相反：思念者是间接宾语。
Last year I went to France.,✗ L'année dernière j'ai allé en France.,L'année dernière je suis allé(e) en France.,aller 用 être 作助动词，且过去分词要与主语性数配合。
