法语,英语,规则
forêt,forest,ˆ = 丢失的 s
hôpital,hospital,ˆ = 丢失的 s
île,isle / island,ˆ = 丢失的 s
château,castle（chasteau）,ˆ = 丢失的 s
coût,cost,ˆ = 丢失的 s
bête,beast,ˆ = 丢失的 s
maître,master,ˆ = 丢失的 s
tempête,tempest,ˆ = 丢失的 s
honnête,honest,ˆ = 丢失的 s
intérêt,interest,ˆ = 丢失的 s
conquête,conquest,ˆ = 丢失的 s
ancêtre,ancestor,ˆ = 丢失的 s
fête,feast / festival,ˆ = 丢失的 s
arrêter,arrest（停止／逮捕）,ˆ = 丢失的 s
vêtement,vestment（衣物）,ˆ = 丢失的 s
croûte,crust,ˆ = 丢失的 s
étudiant,student,词首 é- = 英语 s- + 辅音
école,school,词首 é- = 英语 s- + 辅音
état,state,词首 é- = 英语 s- + 辅音
étrange,strange,词首 é- = 英语 s- + 辅音
épice,spice,词首 é- = 英语 s- + 辅音
éponge,sponge,词首 é- = 英语 s- + 辅音
établir,establish,词首 é- = 英语 s- + 辅音
épine,spine,词首 é- = 英语 s- + 辅音
épouse,spouse,词首 é- = 英语 s- + 辅音
écarlate,scarlet,词首 é- = 英语 s- + 辅音
étoile,star（拉丁 stella）,词首 é- = 英语 s- + 辅音
épaule,shoulder（拉丁 spatula）,词首 é- = 英语 s- + 辅音
